job,sector,description
asistente contable,dotacion seleccion personal,equipo adaptabilidad cambio  asistente contable experiencia manejo moneda extranjero
jefe administrativo,dotacion seleccion personal,persona experiencia contabilidad software contable basico adiminstracion atencion cliente organizacion archivo excelente atencion cliente puntualidad actitud manejo personalcontabilidad siigo finanzas administracion servicio clientetecnico profesional
instructor logistica internacional,dotacion seleccion personal,profesional area relacionado proceso compras suministro ingeniero industrial alimento administrador empresa ciencia afin  logistica mercadeo opcion  semestre equivalente ingenieria industrial opcion  profesion afin cert laboral normas competencia laboral relacionado titulacion dir compra minimo veinticuatro  mes certificar experiencia laboral especializacion relacionado objeto formacion
auxiliar seguro,dotacion seleccion personal,concentracion comprension seguimiento instrucciones planeacion conocimiento segurostecnologia seguro
secretaria auxiliar contable,dotacion seleccion personal,presionexcelentes relacion interpersonales excelente manejo officeconocimientos seguridad socialconocimiento redaccion
tecnico sistema,dotacion seleccion personal,espacio asignado habilidades competencias solicitud  empresa reportar informacion adicional
ingeniero perforacion petroleo gas,dotacion seleccion personal,compromisoalta capacidad interpretacionalta capacidad analisisalta capacidad concentracionorientado cumplimiento meta recursivoproactivoresponsabletrabajo equiposentido pertenenciaexcelente servicio cliente compromisoalta capacidad interpretacionalta capacidad analisisalta capacidad concentracionorientado cumplimiento meta recursivoproactivoresponsabletrabajo equiposentido pertenenciaexcelente servicio cliente
practicante gestion humana,hosteleria,multinacional sector hotelero busqueda estudiante universitario equipo gestion humana colombia  apoyar desarrollo proceso formacion  seleccion  desarrollo comunicaciones  responsabilidades  ejecutar induccion corporativo  desarrollar plan entrenamiento especifico cargo  ejecutar plan formacion anual companhia  garantizar cumplimiento curso mandatorios nivel global  alimentar plataforma corporativo relacionado gestion formacion desarrollo  success factor  sap  proceso seleccion reclutamiento  creacion  desarrollo comunicaciones interno  habilidades requerido  orientacion resultado  resolucion problema  excelente aptitud aprendizaje ganas crecer profesionalmente  conocimientos basico excel  cualificaciones  estudiante ingenieria industrial  administracion psicologia etapa practicas universitarias  nivel intermedio ingles  disponibilidad  anho practicas  disponibilidad firmar contrato aprendizaje mes julio
profesional reclutamiento it,equipo informatico,introduccion  ¿ listo construir fuerza laboral ibm  profesional reclutamiento  desempenhar papel integral punto contacto principal candidato gerente contratacion  guiandolos traves ciclo vida completo reclutamiento  trabaje equipo utilizar enfoque mas innovador atraccion  abastecimiento  seleccion  entrevista  oferta cierre  oportunidad forma futuro ibm  ¡ comience camino  funcion responsabilidad  ¡ unete equipo talent acquisition  transformacion digital empresa inminente  ibm aliado camino cognitivo  satisfacer demanda talento diverso requerido prosperar multiple linea negocio entregar servicio cliente  buscar reclutador talentoso entusiasta   anho experiencia reclutar  industria  pasion tecnologia supuesto  persona  rol seras responsable liderar proceso reclutamiento principio nivel local  regional  interactuando permanentemente gerente candidato pais culturas  apasionado tecnologia innovacion  busca mejora continua  vision atraer talento quieres transformacion  rol  experiencia profesional tecnica necesario  anho experiencia busqueda reclutamiento candidato industria  conocimiento experiencia busqueda booleanas linkedin recruiter  habilidad reclutar candidato pasivo nivel  gestion integral proceso seleccion  excelente habilidad comunicacional capacidad construir relacion solido  nivel ingle intermedio  experiencia profesional tecnica preferido  ingles avanzado  experiencia conocimientos avanzado herramienta sistema reclutamiento gestion persona  incluidos sistema seguimiento candidato  crms  base dato  herramienta sourcing online hoja calculo  reclutadora  or it  acerca unidad negocio  equipo sede corporativa ibm  chq  representar variedad funcion marketing  finanzas  legal  operaciones  recursos humano mas  conjuntamente resolver problema mas complejo mundo  ayudar cliente lograr exito crear entorno colaborativos ibmistas  vida  ibm  ¿ importar buscar proximo reto profesional  querer involucrarse realmente cambiar mundo  ¿ oportunidad desarrollo carrera increible diverso  realmente descubrir pasion  ¿ buscar cultura apertura  colaboracion confianza  voz  ¿ parecer  asi  ibm proximo reto profesional  unirse   cosa creer  impacto  inclusion  experiencia infinitas  vida  acerca ibm  ibm empresa lider plataforma nube solucion cognitivo  reinventandonos descanso  empleador consultoria tecnologia mas grande mundo  mas  empleado atender cliente  pais  watson  plataforma basado dato ia empresa  construir solucion basado industria solucionar problema mundo real  declaracion ubicacion  rol contratacion plazo  anho  obtener mas informacion acerca requisito ubicacion  hablar  reclutador  despues enviar solicitud   ibm  ibm comprometer crear ambiente diverso enorgullecer empleador promover igualdad oportunidad  solicitante calificado seran considerados puesto importar suraza  color  religion  sexo  identidad expresion genero  orientacion sexual  origen nacional  genetica  embarazo  discapacidad  edad  condicion veterano u caracteristica  ibm tambien comprometer cumplimiento practicas justas respectar ciudadania inmigracion
auxiliar gestion humano,dotacion seleccion personal,educacionformacion tecnica tecnologico profesional administracion empresa ingenieria industrial contabilidad carrera afin apoyo gestion documental proceso administrativo nomina experiencia minima anho area gestion humanacontrato termino indefinidol v  pm
administrador hospital,dotacion seleccion personal,empresa dedicado administracion propiedad horizontal busqueda administradores delegados pequenho  anho experiencia conocimiento ley   importante contar experiencia centros medicossi cumplir perfil abstenerse aplicarexperienciaadministracion centro medicos  anho deseabletipo puesto medio contrato
agent specialist,nan,commercial and client service campaign  bilingual  if you are looking for new challenge  and you have  or higher english level and are passionate about client service  this is your opportunity to be part of an important company in the insurance business  as bilingual call center agent in bogota  salary  bonuses for performance up to  monthly  indefinite contract directly with the company  non rotating schedules  paid training  competencies for the position  advanced english level  conversational  month experience  minimum studies  high school  good client service skills
auxiliar contable administrativo,dotacion seleccion personal,firma abogados requerir auxiliar contabilidad administrativa experiencia comprobable manejo programa helisa niif nomina conciliacion bancario parafiscales excel excelente presentacion redaccion funciones administrativo secretarial presentacion informes
disenhador interiores,dotacion seleccion personal,capacidad equipoinnovacioncreatividadcapacidad organizacion planificacion aptitudes dibujar precision claridadaptitudes disenho asistido ordenadoraptitudes negociarcapacidad priorizar tareascapacidades organizativascapaz compaginar tareascapaz colores formas forma creativacapaz encajar critica rechazo
sales manager,nan,webcreek is hiring sales manager to join one of the worlds leading it development firms  what youll do  design and implement strategic sales plan that expands customer base and extends global reach  meet with potential clients and grow long lasting relationships by understanding their needs  achieve growth and reach sales targets by successfully managing the sales team  present sales  revenue  and expense reports and realistic forecasts to top management team  identify emerging markets and market shifts while being fully aware of new products and competition status  oversee the sales team to ensure company quotas and standards are met by holding daily check ins with team to set objectives for the day and monitor progress regularly  who you are  demonstrated ability to communicate  present  and influence credibly and effectively at all levels of the organization  result focused attitude  proven track record in creating sales forecasts  identifying new areas of growth  and accurately analyzing sales performance data  strong business sense  committed to continuous education through workshops  seminars  and conferences  excellent mentoring  coaching  and people management skills  what youll gain  full time position in rapidly growing company  competitive salary with regular revisions  variety of great programs and benefits  in house it and english training and certifications  flexible work environment  international team with opportunities to work abroad  who we are  webcreek is provider of world class software development teams and technical staff augmentation  we serve many of the fortune  and other leading organizations  we operate in countries and have over  years of experience delivering top notch digital solutions to the companies that power our world  webcreek is committed to creating diverse environment and is proud to be an equal opportunity employer  all qualifier applicants will receive consideration for employment without regard to razar  color  religion  gender  gender identity or expression  sexual orientation  national origin  genetic information  pregnancy  disability  age  veteran status  or other characteristics
auxiliar servicio cliente,dotacion seleccion personal,tono voz claro articulado  adecuado etiqueta comunicacion telefonico  poseer habilidad organizacionales resolucion problema  adaptarse cambio habilidad identificar prioridad  obtener calificacion satisfactorio entrenamiento requerido cargo fluidez escrito oral fluidez idioma ingles bachiller equivalente  estudios universitarios deseados  experiencia previa servicio cliente entorno servicio  habilidad labores general oficina incluir conocimiento computacion horario flexible incluir semana dia feriado requeridos
auxiliar servicio cliente,dotacion seleccion personal,tono voz claro articulado  adecuado etiqueta comunicacion telefonico  poseer habilidad organizacionales resolucion problema  adaptarse cambio habilidad identificar prioridad  obtener calificacion satisfactorio entrenamiento requerido cargo fluidez escrito oral fluidez idioma ingles bachiller equivalente  estudios universitarios deseados  experiencia previa servicio cliente entorno servicio  habilidad labores general oficina incluir conocimiento computacion horario flexible incluir semana dia feriado requeridos
coordinador aduanas,dotacion seleccion personal,experiencia  anho anhos cargo amplio conocimientos legislacion aduanera vigente manejo documentacion soporte tramites nacionalizacion importaciones exportaciones proceso logistico especial relacionado carga referente manejo arribo despacho transito carga cliente  tecnico tecnologo comercio exterior negocios internacionales excelente presentacion personal confidencialidad honestidad etico profesionalismo
asistente contable,dotacion seleccion personal,equipo adaptabilidad cambio  asistente contable experiencia manejo moneda extranjero
head of development,nan,saludtools is leading patient treatment platform in latin america that gives doctors and patients better way to improve medical results and provide the best care for their patients using technology  with more than  medical providers  patients and clients in  countries we are positioned as one of the leading companies in this region  after facing  times growth in the last  months  we are totally changing our internal structure and we are looking for our new  head of development  specific challenges are  partner with ceo to definir  prioritize and realize product roadmap  discover and implement new technologies that increar the companys advantage in the the market  ensuring technologies are used efficiently  profitably  and securely  driving performance  efficiency and effectiveness of the engineering team  people  be able to foster our companys culture among the team and be responsive to the organizations needs  work closely with our product team to ensure client focused development process and to to decidir on prioritization  resource allocation  and timelines  execute  monitor and control tech related expenses  leading all aspects of the development lifecycle  including technical requirements analysis  strategic planning  design  architecture  execution  deployment  and maintenance  building quality assurance and data protection processes  ensuring all technology practices adhere to regulatory standards  our ideal candidate will have  years of experience in software architecture  development and personally building digital products from early stage through to scaling and maturity  you have  mentored  and inspired small team of engineers providing architectural guidance  code reviews  etc  you dont need experience in management  just lot of energy to learn  deep knowledge of full stack modern development practices   devops  apis  experience in project management to ensure timely deliverables  ambition to become each day better leader for your team  always looking to learn  taking risks  make mistakes and move fast  english proficiency  the culture  we are looking for person who is aligner with our culture  we foster autonomy  trust and speed  we love experiments and love to try new idea  we are learning from them every day and making ourselves better for our clients constantly  we listar to each other  we learn from each other and we trust each other  we celebrate and feel proud about our accomplishments but we are also honest about our mistakes and we learn as team from them  if you think you have what it takes  send us your cv and cover letter to  camilonaranjo carecloud com co  we offer  competitive compensation package  equity  for the right candidate  remote working environment in latin america  we want you to be part of great team solving one of the greatest problems the population
auxiliar gestion humano,dotacion seleccion personal,educacionformacion tecnica tecnologico profesional administracion empresa ingenieria industrial contabilidad carrera afin apoyo gestion documental proceso administrativo nomina experiencia minima anho area gestion humanacontrato termino indefinidol v  pm
auxiliar servicio cliente,dotacion seleccion personal,comunicacion asertivo manejo relacion interpersonales presion servicio cliente manejo herramienta offimaticas manejo dinero
administrador infraestructura,venta menor,administrador infraestructura  habilidad liderazgo gestion proyectos  experiencia administracion infraestructura  aplicacion  about our client  cliente companhia multinacional sector retail  job description  administrador infraestructura estara cargo gestionar garantizar disponibilidad aplicacion usuario final companhia  cargo liderar equipo administracion aplicacion  gestionar proyecto involucrar grupo aplicacion gestionar proveedor  the successful applicant  buscamos ingenieros sistemas  electronicos afin  bilingue ingles  contar  anho experiencia infraestructura  posicion liderazgo area infraestructura  experiencia enfocada aplicacion usuario final  microsoft  what s on offer  ofrecemos salario pequenho integral mas atractivo beneficio  contact  melissa garcia  quote job ref
manager  product management,servicio financiero  servicios tecnologia informacion  internet,our purpose  we work to connect and power an inclusive  digital economy that benefits everyone  everywhere by making transactions safe  simple  smart and accessible  using secure data and networks  partnerships and passion  our innovations and solutions help individuals  financial institutions  governments and businesses realize their greatest potential  our decency quotient  or dq  drives our culture and everything we do inside and outside of our company  we cultivate culture of inclusion for all employees that respects their individual strengths  views  and experiences  we believe that our differences enable us to be better team – one that makes better decisions  drives innovation and delivers better business results  job title  manager  product management  the manager  product management  core products will support and be accountable for the end to end ownership and the in market management of products  ensuring scalability  growth and value encompassing the full suite of credit and debit product offerings  role  lead the growth of existing core business in colombia market using the product management excellence methodology  which focuses in three main areas of work  product development  product implementation and portfolio management  ensures internal stakeholder and partner collaboration  g  consumer and digital  development teams  divisions for appropriate platforms or systems  legal  franchise  etc  to deliver business requirements and ensure solutions operate and are aligned with regional objectives and customer expectations  drives data analytics  creates  evaluates  manages and communicates product performance  interpreting data to inform product operations  that success factors are met  and product penetration is maximizer and globally scaled  manages and oversee multiple initiatives concurrently  all about you  knowledge  experience  proven ability to learn and master new subject matter areas  skills  abilities  ability to effectively influence cross functional partners while performing multiple functions  self motivated  problem solver who is results driven and proven track record of delivering success while operating within team environment  strong written  verbal and presentation skills  data analytics and subsequent processing to turn raw data into meaningful  actionable information  g  excel  pivot tables  dashboard creation  etc  deep knowledge of project management skills and techniques  knowledge of product management excellence  mastercards methodology  and agile development methodologies  strong problem solving skills  with the ability to multi task  detail oriented with an ability to understand and manage operational processes  education  bachelors degree or equivalent work experience  some advancer education desired travel  due to covid  most of our employees are working from home  weve implemented virtual hiring process and continue to interview candidates by phone or video and are onboarding new hires remotely  we value the safety of each member of our community because we know were all in this together  mastercard is an inclusive equal employment opportunity employer that considers applicants without regard to gender  gender identity  sexual orientation  razar  ethnicity  disabled or veteran status  or any other characteristic protected by law  if you require accommodations or assistance to complete the online application process  plear contact  reasonable accommodation mastercard com  and identify the type of accommodation or assistance you are requesting  do not include any medical or health information in this email  the reasonable accommodations team will respond to your email promptly
auxiliar contable financiero,dotacion seleccion personal,persona presentacion personal responsable desear desarrollar habilidad profesional enfocado crecimiento continuo pro empresa manejo programa contable preferible siigo herramienta offimaticas
recruitment senior leader,telecomunicaciones  biotecnologia  servicios tecnologia informacion,recruitment senior leader  profesional psicologia  administracion empresa afin  bilingue ingles  about our client  companhia americana software  job description  posicion recruitment senior leader debera  disenhar implementar estrategia reclutamiento atraer talento rubro tecnologia  proceso reclutamiento segun caracteristica cargo reclutar  buscar atraer candidato traves herramienta  entrevista filtrar candidato vacante  valorar conocimientos  habilidad  experiencia aptitud relevante candidato  controlar aplicar mejores practicas reclutamiento  incorporar empleado companhia  the successful applicant  perfil cumplir siguientes requerimientos  profesional psicologia  administracion empresa afin  anho experiencia reclutamiento seleccion perfiles sector it  experiencia general  anho especifico reclutar perfiles it pequenho  anho  deseable software  ingles avanzado  orientacion resultado  pro actividad equipo  what s on offer  companhia crecimiento  contact  paola bonilla  quote job ref
ingeniero industrial,dotacion seleccion personal,compromisoalta capacidad interpretacionalta capacidad analisisalta capacidad concentracionorientado cumplimiento meta recursivoproactivoresponsabletrabajo equiposentido pertenenciaexcelente servicio cliente compromisoalta capacidad interpretacionalta capacidad analisisalta capacidad concentracionorientado cumplimiento meta recursivoproactivoresponsabletrabajo equiposentido pertenenciaexcelente servicio cliente
asistente contable,dotacion seleccion personal,equipo adaptabilidad cambio  asistente contable experiencia manejo moneda extranjero
digital strategy specialist,servicios tecnologia informacion  servicios financiero  atencion sanitaria hospitalaria,digital strategy specialist  at johnson  johnson  the largest healthcare company in the world  we come together with one purpose  to profoundly change the trajectory of health for humanity  diversity  inclusion are essential to continue building our history of pioneering and innovation  which been impacting the health of more than  billion patients and consumers every day for more than  years  regardless of your razar  belief  sexual orientation  religion or any other trait  you are welcome in all open positions at the largest healthcare company in the world  when you join johnson  johnson  your next move could mean our next breakthrough  caring for the world  one person at time inspires and unites the people of johnson  johnson  we embrace research and science  bringing creative idea  products and services to advance the health and well being of people  our employees work with partners in healthcare to touch the lives of over billion people every single day  throughout the world  j j global services  the global shared services organization supporting the businesses of j j  performs select functional work in consistent manner across regions and sectors using simplified  standardizer end to end processes and state of the art technology  the vision of j j global services is  to be trusted business partners who deliver increasing value by creating and sustaining globally standard world class services that enable the power of j  j  there are more than  employees in human resources  finance and procurement who work for johnson  johnson global services in key service centers located in manila  suzhou  prague  bogota and tampa  as well as in local country based hubs  we are looking for digital strategy specialist  to be located in bogota  colombia  we are changing the trajectory of human health  you can too  purpose  the digital strategy sr specialist  member of the j j talent acquisition team  will connect with ta leadership  global and regional  hr and communications leaders identifying and addressing critical talent attraction needs through our digital platforms  you will be responsible for identify and developing partnership to enable technologies  solutions and new channels to meet our talent strategy agenda  such as our early in career programs  develop innovative and creative content connected to our employer branding strategy as well as updating the jnj careers social media  facebook  instagram and linkedin  to convey the corporate culture and employee experience  developing and projecting our employer branding  key responsibilities  in this role you will be responsible for  manage the relationship with candidates and users  and build creative and innovative content to feer our social network in the jnj careers social media according to the specific location needs  facebook  instagram and linkedin  tracking the main channels  preparing and analyzing metrics and indicators  identify and suggest channels and new ways of interacting with our audience  build  handle and own monthly social content calendar to deliver optimized content for each platform  develop and execute creative  quantifiable campaigns to drive awareness  engagement and application  strengthen the relationship with our followers and internet users  creating differentiated customer experience and positioning j j as employer of choice  own the day to day execution of social media strategy on our social channels  including scheduling  posting  and tracking  test  learn and provide insights on whats working and whats not  and make content recommendations and action learnings in real time  recommend investment level being targeted campaigns  deploy global strategy  partner with global talent engagement team on initiatives
agent specialist  bilingual,nan,commercial and client service campaign  bilingual  if you are looking for new challenge  and you have  or higher english level and are passionate about client service  this is your opportunity to be part of an important company in the insurance business  as bilingual call center agent in bogota  salary  bonuses for performance up to  monthly  indefinite contract directly with the company  non rotating schedules  paid training  competencies for the position  advanced english level  conversational  month experience  minimum studies  high school  good client service skills
agent specialist,nan,commercial and client service campaign  bilingual  if you are looking for new challenge  and you have  or higher english level and are passionate about client service  this is your opportunity to be part of an important company in the insurance business  as bilingual call center agent in bogota  salary  bonuses for performance up to  monthly  indefinite contract directly with the company  non rotating schedules  paid training  competencies for the position  advanced english level  conversational  month experience  minimum studies  high school  good client service skills
geologo,dotacion seleccion personal,espacio asignado habilidades competencias solicitud  empresa reportar informacion adicional
profesional sistema informacion documentacion,dotacion seleccion personal,compromisoalta capacidad interpretacionalta capacidad analisisalta capacidad concentracionorientado cumplimiento meta recursivoproactivoresponsabletrabajo equiposentido pertenenciaexcelente servicio cliente compromisoalta capacidad interpretacionalta capacidad analisisalta capacidad concentracionorientado cumplimiento meta recursivoproactivoresponsabletrabajo equiposentido pertenenciaexcelente servicio cliente
aprendiz sena,servicios tecnologia informacion  servicios financiero  atencion sanitaria hospitalaria,aprendiz sena  etapa productivo – bogota  johnson  johnson  companhia cuidado salud mas grande mundo  unir proposito  transformar historia salud humanidad  diversidad inclusion esencial continuar construir historia pionerismo innovacion  impactar salud mas mil millon paciente consumidor dia mas  anho  independientemente raza  creencia  orientacion sexual  religion rasgo  bienvenido puesto vacante companhia cuidado salud mas grande mundo  unir johnson  johnson  proximo movimiento proximo descubrimiento  janssen  crear futuro enfermedad cosa  companhia farmaceutico johnson  johnson  incansablemente realidad futuro paciente mundo combatir enfermedad ciencia  mejorar acceso astucia innovacion curar desesperanza corazon  centrar area medicina diferencia  cardiovascular metabolismo  inmunologia  enfermedades infecciosas vacunas  neurociencia  oncologia hipertension pulmonar  mereces sentar bienvenido  janssen  mision impulsar  paciente inspirar  colaborar mundo salud  contratar talento posicion aprendiz sena estara localizado ciudad bogota  colombia proposito  analisis informacion requerido area negocio  principales responsabilidad  generacion reporte  analisis dato  administrar plantillas  auditorio inventario  auditoria cumplido  actualizacion sops  participar inventario pared pared  participar reunion periodico operador logistico monitorear  controlar mejorar kpis slas
asistente contable,dotacion seleccion personal,equipo adaptabilidad cambio  asistente contable experiencia manejo moneda extranjero
cajero  h  tienda koaj hayuelos  bogota,industria textil moda  recursos humano  venta menor,perfil  koaj permoda abrir oportunidad tienda koaj hayuelos tecnico operaciones comerciales carreras afin    anho experiencia servicio cliente  manejo caja medio electronicos pago  manejo presupuesto tema moda merchandising  capacidad resolver objecion cliente  principal actividad sera garantizar ejecucion correcto proceso caja  normativa vigente protocolo companhia  asegurar experiencia compra cliente garantizar ejecucion transaccion forma  plus contar habilidad servicio cliente garantizar experiencia compra cliente  ¡ unete equipo actitud lograr objetivo companhia  descripcion oferta  pais  colombia  ciudad  bogota  d c  area  comercial  tipo contrato  indefinido horas comercial  jornada laboral  rango salarial
asistente contable,dotacion seleccion personal,equipo adaptabilidad cambio  asistente contable experiencia manejo moneda extranjero
secretaria auxiliar contable,dotacion seleccion personal,presionexcelentes relacion interpersonales excelente manejo officeconocimientos seguridad socialconocimiento redaccion
disenhador interiores,dotacion seleccion personal,capacidad equipoinnovacioncreatividadcapacidad organizacion planificacion aptitudes dibujar precision claridadaptitudes disenho asistido ordenadoraptitudes negociarcapacidad priorizar tareascapacidades organizativascapaz compaginar tareascapaz colores formas forma creativacapaz encajar critica rechazo
ingeniero perforacion petroleo gas,dotacion seleccion personal,compromisoalta capacidad interpretacionalta capacidad analisisalta capacidad concentracionorientado cumplimiento meta recursivoproactivoresponsabletrabajo equiposentido pertenenciaexcelente servicio cliente compromisoalta capacidad interpretacionalta capacidad analisisalta capacidad concentracionorientado cumplimiento meta recursivoproactivoresponsabletrabajo equiposentido pertenenciaexcelente servicio cliente
secretaria auxiliar contable,dotacion seleccion personal,presionexcelentes relacion interpersonales excelente manejo officeconocimientos seguridad socialconocimiento redaccion
tecnologo quimica aplicado,dotacion seleccion personal,tecnologo quimica apliaca industria analisis laboratorio establecido materia primas producto proceso maquilas producto terminado segun disposicion establecido registrar resultado informar director calidad inconsistencias presentado definir accion implementar  agilidad destreza actitud equipo
sales representative  contract logistics,transporte carretera ferrocarril  logistica cadena suministro,sales representative  contract logistics  profesional carrera logistico  comercio exterior afin  nivel ingles intermedio  pequenho  about our client  multinacional freight forwarder mas  anho mercado  ofrecer servicio cadena logistica  presencia mas  pais  job description  posicion sales representative  contract logistics  debera  consecucion desarrollo nivel nacional  cumplir presupuesto venta  manejo medicion kpi´s  desarrollar servicio contract logistics  almacenamiento  distribucion transporte terrestre  the successful applicant  perfil cumplir siguientes requerimientos  profesional carrera logistico  comercio exterior  relacion internacional carrera afin  mas  anho experiencia venta servicio almacenamiento  distribucion transporte terrestre  nivel ingles intermedio  pequenho  experiencia cumplir presupuesto venta venta contract logistics servicio cadena logistica internacional  what s on offer  oportunidad multinacional mas importante sector logistica internacional nivel mundial  liderar unidad negocio paquete salarial competitivo frente mercado  contact  natalia mejia  quote job ref
agente contact center,dotacion seleccion personal,contar ortografia excelente actitud serviciocompetencias tecnologo tecnico experiencia minima  mes call center area retencion
asistente administrativo,telecomunicaciones  recursos humanos  sanidad  bienestar ejercicio,empresa  empresa comunicaciones  dedicada distribucion sim card   digo comunicaciones empresa ofrecer bienestar estabilidad laboral  responsabilidades  liderar personal  informes venta  buscar estrategia mercado  analisis dato  informes venta  buscar estrategia venta  atencion cliente  manejo excel avanzado  competencias  liderazgo  creatividad  equipo  vincu com co ofertas bogota d c  digo comunicaciones sas asistente administrativo  utm source linkedin agregadores linkedin   millon
ingeniero mecanico,dotacion seleccion personal,profesional ingenieria mecanico electrico afin experiencia general  anho experiencia especifica  anho gestion calidad proyecto industria gas petroleo  inspector certificado requerimiento snt tc  practica asnt american society for nondestructive testing epri electric power research institute certificacion api american petroleum institute inspectores qualified examiners
asistente mercadeo publicidad,dotacion seleccion personal,profesional mercado comunicacion publicidadperfil proactivo organizadoagil recursivo busqueda informacionbuen nivel ingle profesional mercado comunicacion publicidadperfil proactivo organizadoagil recursivo busqueda informacionbuen nivel ingle
customer success  bogota,servicios tecnologia informacion  software  internet,haus buscar  customer success  ciudad  bogota  encargado comunicacion telefonico comprador potencial vivienda  evaluar nivel satisfaccion servicio prestado haus  responsabilidades  contacto cliente interesado iniciar busqueda vivienda  medio telefonico  whatsapp  correo electronico  generar plan mejora gestion contacto cliente  permitir profundidad experiencia usuarios comprador  atencion cliente ingresar chat inferior  minuto cliente plataforma inferior  minuto  tipificar experiencia usuario comprador crm  diligenciar  campo historial cliente  mantener gestion diario  cliente  tarea seguimiento  reportado crm  hubspot  competencias tecnicas  experiencia atencion  soporte  venta servicio cliente telefonico  minimo  mes  manejo aplicativo ofimaticos nivel intermedio  office  drive  crm  preferiblemente hubspot  conocimiento manejo chats servicio cliente  preferiblemente whatsapp plataforma atencion usuario  habilidades  comunicacion asertivo  escucha activo  recursividad  permitiendo ahondar profundidad experiencia cliente  autonomia manejo  equipo  proactivo  fluidez verbal tono voz  valores  cumplimos  mas  innovacion  simplificamos  jugamos cliente  beneficios  contrato termino indefinido  directo haus  empresa joven  dinamica  estructura organizacional plana  oportunidad crecimiento exponencial  incentivamos desarrollo agil  envio rapido  iteracion  prueba  b  ejecucion autorizacion  salario basico  prestaciones ley  auxilio  prestacional
legal manager latam,articulo consumo,legal manager latam  nivel ingles avanzado  profesional derecho generalista experiencia regional  about our client  cliente importante empresa venta directa  job description  posicion legal manager latam debera  cumplimiento tramite legal  regulatorios administrativo  liderar proceso compliance  auditoria negocio  etica conducta  coordinar mantener relacion firma abogado pais  soporte legal tema necesitar apoyo area  the successful applicant  perfil cumplir siguientes requerimientos  profesional derecho pequenho  anho experiencia cargo similar  alcance regional  nivel ingles avanzado  what s on offer  ofrecemos pertenecer importante companhia  contact  carolina rico  quote job ref
disenhador interiores,dotacion seleccion personal,capacidad equipoinnovacioncreatividadcapacidad organizacion planificacion aptitudes dibujar precision claridadaptitudes disenho asistido ordenadoraptitudes negociarcapacidad priorizar tareascapacidades organizativascapaz compaginar tareascapaz colores formas forma creativacapaz encajar critica rechazo
ingeniero perforacion petroleo gas,dotacion seleccion personal,compromisoalta capacidad interpretacionalta capacidad analisisalta capacidad concentracionorientado cumplimiento meta recursivoproactivoresponsabletrabajo equiposentido pertenenciaexcelente servicio cliente compromisoalta capacidad interpretacionalta capacidad analisisalta capacidad concentracionorientado cumplimiento meta recursivoproactivoresponsabletrabajo equiposentido pertenenciaexcelente servicio cliente
