,data
68,espacio asignado habilidad competencias solicitud empresa reporta informacion adicional
69,compromisoliderazgobuen manejo personalcomunicacion asertivaorganizadoalta capacidad interpretacionalta capacidad analisisalta capacidad concentracionorientado cumplimiento meta recursivoproactivoresponsabletrabajo equiposentido pertenenciaexcelente servicio cliente compromisoliderazgobuen manejo personalcomunicacion asertivaorganizadoalta capacidad interpretacionalta capacidad analisisalta capacidad concentracionorientado cumplimiento meta recursivoproactivoresponsabletrabajo equiposentido pertenenciaexcelente servicio cliente
70,tecnologo quimica apliaca industria analisis laboratorio establecido materia primas producto proceso maquilas producto terminado segun disposición establecido registrar resultado informar director calidad inconsistencias presentado defina acción implementar agilidad destreza actitud equipo
71,agilidadatencion cliente interno externomanejo herramienta ofimaticascomunicacion verbal escrito proactividadcomunicacioncompromisoorientacion resultado
72,servicio clienteatencion detalleorden capacidad resolucion problemasseguimiento controlmanejo excel wordcomunicacion efectivo asertivabuen manejo vocabulario manejo excel wordmanejo clientesexcelencia elaboracion documentoscapacidad resolucion problemas capacidad seguimiento control proceso multiples ventacomunicacion efectivo asertivo clientesbuen manejo vocabulario atencion cliente
73,tecnologo quimica apliaca industria analisis laboratorio establecido materia primas producto proceso maquilas producto terminado segun disposición establecido registrar resultado informar director calidad inconsistencias presentado defina acción implementar agilidad destreza actitud equipo
74,perfil koaj permoda creer oportunidad tienda koaj palatino tecnicos operaciones comerciales carrera afín anhos experiencia manejo caja medio electronicos pago servicio cliente contar capacidad resolver objeción clientes ideal experiencia conocimientos tema moda merchandising clave disponibilidad laborar horas semanal este unirte equipo companhia proyeccion internacional descripcion oferta pais colombia ciudad bogota area comercial tipo contrato indefinido horas comercial jornada laboral tiendas rango salarial
75,tono voz claro articulado adecuado etiqueta comunicacion telefonica poseer habilidad organizacionales resolucion problema adaptarse cambios habilidad identificar prioridad obtener calificacion satisfactorio entrenamiento requerido cargo fluidez escrito oral fluidez idioma ingles bachiller equivalente estudio universitarios deseado experiencia previa servicio cliente entorno servicio habilidad labores general oficina incluir conocimiento computacion horario flexible incluir fin semana dias feriado requerido
76,habilidad liderazgo planeacion organizacion interes aprender transmitir conocimiento relacionamiento cliente proveedor companheros sentido orden liderazgo enfoque resultado esperado proactividad mejorar resultado equipo etica integridad basado valor companhia
77,educacionformacion tecnica tecnologica profesional administracion empresa ingenieria industrial contabilidad carrera afín apoyo gestion documental proceso administrativo nomina experiencia minima anho area gestion humanacontrato termino indefinidol
78,educacionformacion tecnica tecnologica profesional administracion empresa ingenieria industrial contabilidad carrera afín apoyo gestion documental proceso administrativo nomina experiencia minima anho area gestion humanacontrato termino indefinidol
79,managing director experiencia mundo consultoria tecnologia preferiblemente ingles avanzado about our client firma consultora marcar diferencia sector consultoria nivel mundial proceso cercano cliente identificar necesidad formular estrategia ejecutable mejorar proceso clientes asi consumidor final salgar beneficiado ecuacion job description principal responsabilidad posicion managing director seran cargo softlanding companhia colombia representacion legal desarrollo estructuracion equipo equipo ingenieria data strategy mano partners aliado estrategicos negocio unido argentina responsabilidad opex capex velar resultado pactado principio reporte directo atender necesidad clientes nivel global regional local liderar proceso potencial companhias the successful applicant perfil cumplir siguiente requerimiento conocimiento experiencia mundo consultoria tecnologia preferiblemente experiencia liderar delivery clientes mix conocimientos tecnicos tecnologias componente estrategico liderar hands sera empleado colombia contar talento tecnico ingenieria data dominar lenguaje tecnicos lograr interpretar necesidad offerings cliente carrera afín ingenieria sistemas camino management liderazgo equipo inspirador decision criterio ingles avanzado relacionamiento clevel chief strategy officer chief technology officer chief comercial officer chief operation officer chief executive officer principal interlocutor what offer atractivo paquete salarial plan carrera definido salario fijo mensual bono resultado anualizado plan medicina pre pagado familiar car allowance equity contact diego monroy quote job ref
80,presentacion personal manejo idioma ingles nivel medio excelente servicio cliente habilidad numericas equipo comunicacion eficaz dinamismo energia equipo orientacion cliente tolerancia presion
81,tecnico tecnologo alimento control calidad planta alimentos controles produccion verificacion formato elaboracion control validacion programa calidad existente empresa manejo operaciones numericas redaccion
82,espacio asignado habilidad competencias solicitud empresa reporta informacion adicional
83,experiencia anhos anhos cargo amplio conocimientos legislacion aduanera vigente manejo documentacion soporte tramites nacionalizacion importaciones exportación procesos logisticos especial relacionado carga referente manejo arribo despacho transito carga clientes tecnico tecnologo comercio exterior negocio internacional excelente presentacion personal confidencialidad honestidad etica profesionalismo
84,compromisoalta capacidad interpretacionalta capacidad analisisalta capacidad concentracionorientado cumplimiento meta recursivoproactivoresponsabletrabajo equiposentido pertenenciaexcelente servicio cliente compromisoalta capacidad interpretacionalta capacidad analisisalta capacidad concentracionorientado cumplimiento meta recursivoproactivoresponsabletrabajo equiposentido pertenenciaexcelente servicio cliente
85,administrador infraestructura habilidad liderazgo gestion proyecto experiencia administracion infraestructura aplicación about our client cliente companhia multinacional sector retail job description administrador infraestructura estar cargo gestionar garantizar disponibilidad aplicación usuario final companhia estar cargo liderar equipo administracion aplicación gestionar proyecto involucrar grupo aplicación gestionar proveedor the successful applicant buscar ingenieros sistema electronicos afín bilingues ingles contar anhos experiencia infraestructura posición liderazgo areas infraestructura experiencia enfocado aplicación usuario final microsoft what offer ofrecer salario minimo integral mas atractivo beneficio contact melissa garcia quote job ref
86,persona experiencia contabilidad software contable basico adiminstracion atencion cliente organizacion archivo excelente atencion cliente puntualidad actitud manejo personalcontabilidad siigo finanzas administracion servicio clientetecnico profesional
87,tecnologo quimica apliaca industria analisis laboratorio establecido materia primas producto proceso maquilas producto terminado segun disposición establecido registrar resultado informar director calidad inconsistencias presentado defina acción implementar agilidad destreza actitud equipo
88,compromisoalta capacidad interpretacionalta capacidad analisisalta capacidad concentracionorientado cumplimiento meta recursivoproactivoresponsabletrabajo equiposentido pertenenciaexcelente servicio cliente compromisoalta capacidad interpretacionalta capacidad analisisalta capacidad concentracionorientado cumplimiento meta recursivoproactivoresponsabletrabajo equiposentido pertenenciaexcelente servicio cliente
89,aei crecer fortalecer pmo buscar project manager equipo colombia responsabilidad coordinar actividad recursos asignado proyecto disenho construccion asegurar cumplimiento requisito proyecto terminos presupuesto cronogramas calidad optimizacion proyecto cargo garantizar cumplimiento proceso establecido ejecucion proyecto fases inicio cierre integrar mantener informado stakeholders proyecto cargo perfil profesional bilingue arquitectura carrera afín certificacion pmp indispensable minimo anhos experiencia profesional deseable estudio nivel post grado experiencia proyecto interiorismo
90,direccion leasing profesional administracion empresa ingenieria industrial afín anhos experiencia roles directivos leasing sector financiero about our client cliente importante empresa sector financiero especializado banca direccion leasing debera job description estructurar estrategia producto leasing financiero punta punta posicionar producto referente sector mano fuerza comercial implementacion ejecucion estrategia aumentar tasa crecimiento participacion producto anho anho the successful applicant perfil cumplir siguiente requerimiento profesional administracion empresa ingenieria industrial finanzas carreras afín anhos experiencia roles directivos leasing sector financiero amplio conocimiento entendimiento integral leasing financiero creacion producto ejecucion implementacion what offer ofrecer pertenecer principal banco pais lider sector proceso transformacion estrategia enfocado cliente contact federico vanegas quote job ref
91,profesional comunicador social periodista minimo anhos experiencia portal digital manejo red social estrategia digital creacion correccion contenido red social excelente redaccion conocimiento seo google analytics experiencia liderar equipo excelente ortografia requisito excelente redaccion ortografia conocimientos seo conocimientos google analitycs conocimientos photoshop basico
92,brm aval profesional ingenieria sistema carrera afín experiencia venta sector financiero about our client cliente importante multinacional sector tecnologia especializado integracion servicios ofrecer solución posicion brm aval debera job description generar negocio mantener cuenta cumplimiento cuota desarrollar integral cliente conjunto partners the successful applicant perfil cumplir siguiente requerimiento profesional ingenieria sistema carrera afín alto orientacion logro excelente relacionamiento nivel level experiencia demostrable mas anhos minimo venta sector financiero colombia contar conocimiento demostrable venta consultivo venta solución tecnologia comprender servicio solución infraestructura cloud what offer importante resaltar exposicion mercado gracia amplio relacionamiento tendra clientes multi industria colombia conocimiento innovador tecnologias seran implementado clientes equipo mundo contact andres delgado quote job ref
93,profesional ingenieria mecanicas electricas afín experiencia general anhos experiencia especificar anhos gestion calidad proyecto industria gas petroleo inspector certificado requerimiento snt practicar asnt american society for nondestructive testing epri electric power research institute certificación api american petroleum institute inspectores qualified examiners
94,perfil crecer abrimos convocatoria planta terminado tejido punto bachilleres anhos experiencia realizar obra manual despues operacion objetivo principal cargo agregar equipo persona contribuir proceso elaboracion terminado empacar prendas tela hilaza plus importante vacante agilidad precision operacion atencion detalle oportunidad unirte companhia carrera companhias proyeccion pais descripcion oferta pais colombia ciudad bogota area asunto corporativo tipo contrato indefinido horas pro log jornada laboral rango salarial
95,empresa dedicado administracion propiedad horizontal busqueda administrador delegado minimo anho experiencia conocimiento ley importante contar experiencia centro medicossi cumplir perfil abstenerse aplicarexperienciaadministracion centro medicos anho deseabletipo puesto medio contrato
96,compromisoalta capacidad interpretacionalta capacidad analisisalta capacidad concentracionorientado cumplimiento meta recursivoproactivoresponsabletrabajo equiposentido pertenenciaexcelente servicio cliente compromisoalta capacidad interpretacionalta capacidad analisisalta capacidad concentracionorientado cumplimiento meta recursivoproactivoresponsabletrabajo equiposentido pertenenciaexcelente servicio cliente
97,equipo adaptabilidad cambio asistente contable experiencia manejo moneda extranjero
98,firma abogado requerir auxiliar contabilidad administrativo experiencia comprobable manejo programa helisa niif nomina conciliacion bancario parafiscales excel excelente presentacion redaccion función administrativo secretarial presentacion informes
99,compromisoliderazgobuen manejo personalcomunicacion asertivaorganizadoalta capacidad interpretacionalta capacidad analisisalta capacidad concentracionorientado cumplimiento meta recursivoproactivoresponsabletrabajo equiposentido pertenenciaexcelente servicio cliente compromisoliderazgobuen manejo personalcomunicacion asertivaorganizadoalta capacidad interpretacionalta capacidad analisisalta capacidad concentracionorientado cumplimiento meta recursivoproactivoresponsabletrabajo equiposentido pertenenciaexcelente servicio cliente
100,persona presentacion personal responsable desear desarrollar habilidad profesional enfocado crecimiento continuo pro empresa manejo programa contable preferible siigo herramienta offimaticas
101,profesional comunicador social periodista minimo anhos experiencia portal digital manejo red social estrategia digital creacion correccion contenido red social excelente redaccion conocimiento seo google analytics experiencia liderar equipo excelente ortografia requisito excelente redaccion ortografia conocimientos seo conocimientos google analitycs conocimientos photoshop basico
102,gerencia general profesional ingenieria administracion economia similar anhos experiencia sector energetico about our client importante multinacional energia renovable mas anhos colombia busqueda gerente general job description reportar posicion ceo casa matriz equipo persona gerencia general tendra siguiente responsabilidad proyeccion implementacion estrategia colombia mercado rapido desarrollo competitivo aspecto productivo tecnicos energia solar busqueda solución innovador viabilidad instalación implantado etc vision financiero relacionado proyecto financiamiento proyecto rotación activos tema comerciales desarrollo pipeline comercial participacion convocatoria licitacion establecimiento alianza codesarrollo etc conocimiento mercado competidor enfoque unilateral cliente desarrollo oferta medida enfoque mercado vertical presupuesto anual consolidado prevision mensual gestion comite enfoque comercial mensual presentado comite ejecutivo informes financiero consolidado enviar central analisis kpis gestion equipo comite direccion reflexion organización ajustar contratacion desarrollo rrhh definicion eje prioridad equipo seguimiento objetivos liderazgo motivacion equipo the successful applicant perfil cumplir siguiente requerimiento contar profesion ingenieria administracion economia similar contar anhos experiencia sector energetico infraestructura construccion incluidos anhos puesto gestion conocimiento mercados america sur especificamente colombia fundamental conocimiento cuestión comerciales legal financiero proyecto particular infraestructuras app estrategia licitacion negociacion app ppa financiacion recurso etc conocimiento principal reto tecnicos sistema fotovoltaico proceso industrial eficiencia energetica experiencia gestion esencial manejo ventaja experiencia comercial desarrollo proyecto campo transicion energetica ingles frances fluido capacidad analisis gestion animacion equipo sentido desarrollo empresarial adaptabilidad capacidad respuesta what offer paquete compensacion compuesto salario basico bono anual beneficio contact juliana suarez quote job ref
103,servicio clienteatencion detalleorden capacidad resolucion problemasseguimiento controlmanejo excel wordcomunicacion efectivo asertivabuen manejo vocabulario manejo excel wordmanejo clientesexcelencia elaboracion documentoscapacidad resolucion problemas capacidad seguimiento control proceso multiples ventacomunicacion efectivo asertivo clientesbuen manejo vocabulario atencion cliente
104,compromisoalta capacidad interpretacionalta capacidad analisisalta capacidad concentracionorientado cumplimiento meta recursivoproactivoresponsabletrabajo equiposentido pertenenciaexcelente servicio cliente compromisoalta capacidad interpretacionalta capacidad analisisalta capacidad concentracionorientado cumplimiento meta recursivoproactivoresponsabletrabajo equiposentido pertenenciaexcelente servicio cliente
105,espacio asignado habilidad competencias solicitud empresa reporta informacion adicional
106,perfil koaj permoda creer oportunidad tienda koaj santafe tecnicos operaciones comerciales carrera afín anhos experiencia manejo caja medio electronicos pago servicio cliente contar capacidad resolver objeción clientes ideal experiencia conocimientos tema moda merchandising clave disponibilidad laborar horas semanal este unirte equipo companhia proyeccion internacional descripcion oferta pais colombia ciudad bogota area comercial tipo contrato indefinido horas comercial jornada laboral tiendas rango salarial
107,espacio asignado habilidad competencias solicitud empresa reporta informacion adicional
108,conocimiento gestion ventas comercio exterior director comercial indispensable venir sector alimento despulpadora frutas exportacion fruta fresco pulpas
109,profesional mercado comunicacion publicidadperfil proactivo organizadoagil recursivo busqueda informacionbuen nivel ingles profesional mercado comunicacion publicidadperfil proactivo organizadoagil recursivo busqueda informacionbuen nivel ingles
110,profesional mercado comunicacion publicidadperfil proactivo organizadoagil recursivo busqueda informacionbuen nivel ingles profesional mercado comunicacion publicidadperfil proactivo organizadoagil recursivo busqueda informacionbuen nivel ingles
111,autonomia planeacion paciencia insistencia proactividad empatia confianza comunicacion eficaz capacidad escuchaestar dispuesto capacitarse habilidad informaticasconocimiento programa offices apasionado tecnologia poseer amplio conocimientos
112,conocimiento gestion ventas comercio exterior director comercial indispensable venir sector alimento despulpadora frutas exportacion fruta fresco pulpas
113,direccion leasing profesional administracion empresa ingenieria industrial afín anhos experiencia roles directivos leasing sector financiero about our client cliente importante empresa sector financiero especializado banca direccion leasing debera job description estructurar estrategia producto leasing financiero punta punta posicionar producto referente sector mano fuerza comercial implementacion ejecucion estrategia aumentar tasa crecimiento participacion producto anho anho the successful applicant perfil cumplir siguiente requerimiento profesional administracion empresa ingenieria industrial finanzas carreras afín anhos experiencia roles directivos leasing sector financiero amplio conocimiento entendimiento integral leasing financiero creacion producto ejecucion implementacion what offer ofrecer pertenecer principal banco pais lider sector proceso transformacion estrategia enfocado cliente contact federico vanegas quote job ref
114,persona experiencia contabilidad software contable basico adiminstracion atencion cliente organizacion archivo excelente atencion cliente puntualidad actitud manejo personalcontabilidad siigo finanzas administracion servicio clientetecnico profesional
115,recruitment senior leader profesional psicologia administracion empresa afín bilingue ingles about our client companhia americana softwar job description posicion recruitment senior leader debera disenhar implementar estrategia reclutamiento atraer talento rubro tecnologia proceso reclutamiento segun caracteristicas cargo reclutar buscar atraer candidato traves herramienta entrevista filtrar candidato vacante valorar conocimientos habilidad experiencia aptitud relevante candidato controlar aplicar mejores practicas reclutamiento incorporar empleado companhia the successful applicant perfil cumplir siguiente requerimiento profesional psicologia administracion empresa afín anhos experiencia reclutamiento seleccion perfiles sector experiencia general anhos especificar reclutar perfiles minimo anhos deseable softwar ingles avanzado orientacion resultado pro actividad equipo what offer companhia crecimiento contact paola bonilla quote job ref
116,requerir persona honesto puntual responsable capacidad sintesis requerir persona experiencia trabajar programa invima certificado invima sector alimentos
117,acerca cliente empresa dispositivos medicos presencia mas paises descripcion gerencia marketing latam debera colaboracion venta servicio cliente clinica penetrar cuenta clientes obtener informacion comprension desafios clientes desarrollar relación directo contacto clientes socio canal analizar capacidad respuesta programa marketing incluido programa participacion cambios programa futuro basado conocimientos servir experto funcional programa participacion llamado clientes comunicar estrategia programa resultado etc servicio cliente creacion posicionamiento informes clientes apoyar esfuerzo general marketing producto incluidos desarrollo materiales capacitacion venta incluido tarjeta batalla competencia preguntas frecuente manejo objeción etc perfil buscado perfil cumplir siguiente requerimiento profesional areas administrativo afín postgrado minimo anhos experiencia anhos posición liderazgo similar industria experiencia venta promocion dispositivos auditivo persona altamente orientado equipo organizado contar relación interpersonales liderazgo capacidad analitica comunicacion habilidad planificacion ejecucion estrategica ingles intermedio avanzado ofrecer ofrecer pertenecer empresa constante busqueda oportunidad
118,planear organizar dirigir controlar proyecto evaluacion actividad estipulado plan marco procesos formacionasegurar nivel coordinacion comunicacion disponibilidad recursos necesario ejecucion mismovalidar seguimiento evaluacion plan marco proceso formacion acreditar cargo director gerente coordinador lider experiencia especificar anhos acreditado traves presentacion maximo certificación sector publico privado tema relacionado proceso pedagogico programa formacion educativo litigios tarjeta profesional
119,planear organizar dirigir controlar proyecto evaluacion actividad estipulado plan marco procesos formacionasegurar nivel coordinacion comunicacion disponibilidad recursos necesario ejecucion mismovalidar seguimiento evaluacion plan marco proceso formacion acreditar cargo director gerente coordinador lider experiencia especificar anhos acreditado traves presentacion maximo certificación sector publico privado tema relacionado proceso pedagogico programa formacion educativo litigios tarjeta profesional
120,presentacion personal manejo idioma ingles nivel medio excelente servicio cliente habilidad numericas equipo comunicacion eficaz dinamismo energia equipo orientacion cliente tolerancia presion
121,direccion leasing profesional administracion empresa ingenieria industrial afín anhos experiencia roles directivos leasing sector financiero about our client cliente importante empresa sector financiero especializado banca direccion leasing debera job description estructurar estrategia producto leasing financiero punta punta posicionar producto referente sector mano fuerza comercial implementacion ejecucion estrategia aumentar tasa crecimiento participacion producto anho anho the successful applicant perfil cumplir siguiente requerimiento profesional administracion empresa ingenieria industrial finanzas carreras afín anhos experiencia roles directivos leasing sector financiero amplio conocimiento entendimiento integral leasing financiero creacion producto ejecucion implementacion what offer ofrecer pertenecer principal banco pais lider sector proceso transformacion estrategia enfocado cliente contact federico vanegas quote job ref
122,persona experiencia contabilidad software contable basico adiminstracion atencion cliente organizacion archivo excelente atencion cliente puntualidad actitud manejo personalcontabilidad siigo finanzas administracion servicio clientetecnico profesional
123,persona autonoma etica comprometido desarrollo comunidad empresa dia disfrute equipo limpio puntual capaz analizar organizar planear ejecutar controlar evaluar proceso misional administrativo farmacia persona autonoma etica comprometido desarrollo comunidad empresa dia disfrute equipo limpio puntual capaz analizar organizar planear ejecutar controlar evaluar proceso misional administrativo farmacia
124,contar ortografia excelente actitud serviciocompetencias tecnologo tecnico experiencia minima mes call center area retencion
125,espacio asignado habilidad competencias solicitud empresa reporta informacion adicional
126,introduccion listo construir fuerza laboral ibm profesional reclutamiento desempenha papel integral punto contacto principal candidato gerentes contratacion guiandolos traves ciclo vida completo reclutamiento trabaje equipo utilizar enfoque mas innovador atraccion abastecimiento seleccion entrevista oferta cierre oportunidad forma futuro ibm comience camino funcion responsabilidad unete equipo talent acquisition transformacion digital empresa inminente ibm aliado camino cognitivo satisfacer demanda talento diverso requerido prosperar multiples lineas negocios entregar servicio clientes buscar reclutador talentoso entusiasta anhos experiencia reclutar industria pasion tecnologia supuesto persona rol seras responsable liderar proceso reclutamiento principio nivel local regional interactuando permanentemente gerentes candidato paises culturas apasionado tecnologia innovacion buscar mejora continua vision atraer talento quieres transformacion rol experiencia profesional tecnica necesario anhos experiencia busqueda reclutamiento candidato industria conocimiento experiencia usar busquedas booleanas linkedin recruiter habilidad reclutar candidato pasivo nivel gestion integral proceso seleccion excelente habilidad comunicacional capacidad construir relación solido nivel ingles intermedio experiencia profesional tecnica preferido ingles avanzado experiencia conocimientos avanzado herramienta sistema reclutamiento gestion persona incluido sistema seguimiento candidato crms base datos herramienta sourcing online hoja calculo reclutadora acerca unidad negocio equipo sede corporativo ibm chq representar variedad funciones marketing finanzas legal operaciones recursos humano mas trabajar conjuntamente resolver problema mas complejo mundo ayudar cliente lograr exito crear entorno colaborativos ibmistas vida ibm que importar buscar proximo reto profesional quiera involucrarse realmente cambiar mundo que oportunidad desarrollo carrera increibles diverso realmente descubrir pasion este buscar cultura apertura colaboracion confianza voz asi ibm proximo reto profesional unar creyo posible impacto inclusion experiencia infinito hacer vida acerca ibm ibm empresa lider plataforma nube solución cognitivo reinventandonos descanso empleador consultoria tecnologia mas grande mundo mas empleado atender cliente paises watson plataforma basado dato empresa construir solución basado industria solucionar problema mundo real declaracion ubicacion rol contratacion plazo anho obtener mas informacion acerca requisito ubicacion hablar reclutador despues envie solicitud ibm ibm comprometer crear ambiente diverso enorgullecer empleador promover igualdad oportunidad solicitante calificado seran considerado puesto importar suraza color religion sexo identidad expresion genero orientacion sexual origen nacional genetica embarazo discapacidad edad condicion veterano caracteristicas ibm tambien comprometer cumplimiento practicas justas respecta ciudadania inmigracion
127,administrador infraestructura habilidad liderazgo gestion proyecto experiencia administracion infraestructura aplicación about our client cliente companhia multinacional sector retail job description administrador infraestructura estar cargo gestionar garantizar disponibilidad aplicación usuario final companhia estar cargo liderar equipo administracion aplicación gestionar proyecto involucrar grupo aplicación gestionar proveedor the successful applicant buscar ingenieros sistema electronicos afín bilingues ingles contar anhos experiencia infraestructura posición liderazgo areas infraestructura experiencia enfocado aplicación usuario final microsoft what offer ofrecer salario minimo integral mas atractivo beneficio contact melissa garcia quote job ref
128,gerencia financiero nivel ingles avanzado experencia sap about our client cliente importante empresa dispositivos medicos gerencia financiero debera job description liderar proceso contabilidad impuesto facturacion auditorio debera manejar cuenta pagar reembolsos gasto preparar presentar presupuesto control crediticio proceso cobranza the successful applicant perfil cumplir siguiente requerimiento profesional contaduria publicar carrera administrativo afín anhos experiencia cargo similar profesional habilidad liderazgo what offer ofrecer pertenecer importante empresa beneficios contact paula ferreira quote job ref
129,empresa forma comun gustar rapido apasionado impacto directo crecimiento linio empresa joven horizontal sor formado gente joven lleno energia empresa abierta libre confiamos potencial gente decisión puntos pensar cliente empaticos suceder integros seguros exito alcanzar duro constante dia dia esforzar cliente experiencia compra linea muchisimo seguir trabajar trabajar lograr vida mas facil latinoamericano necesitar equipo buscar hrbp sumar equipo linio colombia mision planear implementar estrategia recursos humano centro servicio regional asesorar guiar cliente internos gestion persona potenciar talento liderazgo engagement asi construir equipo alto desempenho responsabilidad liderar ciclo completo atraccion talento gestion talentos atraer reconocer potenciar retener definir implementar proyecto recursos humano regional nivel local seguimiento gestion engagement clima liderazgo equipo apoyar crecimiento aprendizaje empleado traves plan capacitacion desarrollo carrera seguimiento asesoria clientes internos ciclo desempenho evaluacion calibracion feedback gestionar proceso administrativo area alto bajas carta laboral actualizacion dato requisito profesional carrera administrativo afín experiencia laboral anhos cargo similar deseable experiencia contact center experiencia demostrable compensacion beneficio legislacion laboral mejores practicas recursos humano metricas recursos humano ingles nivel intermedio perfil proactivo habilidad comunicacion efectivo orientado equipo dinamico adaptable cambio posicion interesante invitamos formes familia linio quieres mas linio com
130,firma abogado requerir auxiliar contabilidad administrativo experiencia comprobable manejo programa helisa niif nomina conciliacion bancario parafiscales excel excelente presentacion redaccion función administrativo secretarial presentacion informes
131,requisito edad disponibilidad completo excluir estudiante debes aplicar nivel ingles superior diploma escuela secundario pep visa elegible extranjero accedo technologies bpo busqueda personal brindar soporte tecnico dispositivo electronicos traves llamado ingles requisito nivel ingles disponibilidad horario jornada completawfh orientado servicio cliente documentacion legal vigente pepcepacc diploma bachiller
132,tono voz claro articulado adecuado etiqueta comunicacion telefonica poseer habilidad organizacionales resolucion problema adaptarse cambios habilidad identificar prioridad obtener calificacion satisfactorio entrenamiento requerido cargo fluidez escrito oral fluidez idioma ingles bachiller equivalente estudio universitarios deseado experiencia previa servicio cliente entorno servicio habilidad labores general oficina incluir conocimiento computacion horario flexible incluir fin semana dias feriado requerido
133,project manager latam profesional ingenieria industrial electronica electrica afín nivel ingles about our client importante empresa peruano lider servicio almacenamiento procesamiento frio iqf medio producto desarrolla red integrado moderno almacén tecnologia punta ayudar brindar mundo alimento alto calidad job description posicion project manager latam debera liderar proyecto colombia brasil chile cuarto frios sistema refrigeracion participar inicio entregar proyecto disenho rentabilidad costo ejecucion entrega mantenimiento disenho proyecto liderar equipo manejo presupuesto solución dia dia liderar estrategicamente tiempo entregar tarea asignado equipo seguimiento the successful applicant perfil cumplir siguiente requerimiento profesional ingenieria industrial electronica electrica afín sera plus certificacion pmp mas anhos experiencia cargo regional liderar proyecto cuartos frios manejo equipo manejo sistema refrigeracion ingenieria nivel ingles experiencia manejo equipo nivel latam manejo kpi´s manejo autocar disponibilidad viajar what offer oportunidad importante empresa sector industrial liderar equipo nivel latam paquete salarial competitivo frente mercado regional contact natalia mejia quote job ref
134,tecnico profesional conocimientos wordpress manejo commerce excel mailing video pautas publicaciones instagram facebook linkedin twitter administrador vencimiento control seguimiento proceso habilidad redaccion interpretacion sintesis capacidad oral respuesta agiles creacion informes capacidad aprendizaje procesos programa tecnico profesional conocimientos wordpress manejo commerce excel mailing video pautas publicaciones instagram facebook linkedin twitter administrador vencimiento control seguimiento proceso habilidad redaccion interpretacion sintesis capacidad oral respuesta agiles creacion informes capacidad aprendizaje procesos programa
135,sales representative contract logistics profesional carrera logisticas comercio exterior afín nivel ingles intermedio minimo about our client multinacional freight forwarder mas anhos mercado ofrecer servicio cadena logistica presencia mas paises job description posicion sales representative contract logistics debera consecucion desarrollo cuentas nivel nacional cumplir presupuesto venta manejo medicion kpi´s desarrollar servicio contract logistics almacenamiento distribucion transporte terrestre the successful applicant perfil cumplir siguiente requerimiento profesional carrera logisticas comercio exterior relación internacional carrera afín mas anhos experiencia venta servicio almacenamiento distribucion transporte terrestre nivel ingles intermedio minimo experiencia cumplir presupuesto venta venta contract logistics servicio cadena logistica internacional what offer oportunidad multinacional mas importante sector logistica internacional nivel mundial liderar unidad negocio paquete salarial competitivo frente mercado contact natalia mejia quote job ref
136,tecnico profesional conocimientos wordpress manejo commerce excel mailing video pautas publicaciones instagram facebook linkedin twitter administrador vencimiento control seguimiento proceso habilidad redaccion interpretacion sintesis capacidad oral respuesta agiles creacion informes capacidad aprendizaje procesos programa tecnico profesional conocimientos wordpress manejo commerce excel mailing video pautas publicaciones instagram facebook linkedin twitter administrador vencimiento control seguimiento proceso habilidad redaccion interpretacion sintesis capacidad oral respuesta agiles creacion informes capacidad aprendizaje procesos programa
137,experiencia anhos anhos cargo amplio conocimientos legislacion aduanera vigente manejo documentacion soporte tramites nacionalizacion importaciones exportación procesos logisticos especial relacionado carga referente manejo arribo despacho transito carga clientes tecnico tecnologo comercio exterior negocio internacional excelente presentacion personal confidencialidad honestidad etica profesionalismo
138,gerencia financiero nivel ingles avanzado experencia sap about our client cliente importante empresa dispositivos medicos gerencia financiero debera job description liderar proceso contabilidad impuesto facturacion auditorio debera manejar cuenta pagar reembolsos gasto preparar presentar presupuesto control crediticio proceso cobranza the successful applicant perfil cumplir siguiente requerimiento profesional contaduria publicar carrera administrativo afín anhos experiencia cargo similar profesional habilidad liderazgo what offer ofrecer pertenecer importante empresa beneficios contact paula ferreira quote job ref
139,presionexcelentes relación interpersonales excelente manejo officeconocimientos seguridad socialconocimiento redaccion
140,profesional mercado comunicacion publicidadperfil proactivo organizadoagil recursivo busqueda informacionbuen nivel ingles profesional mercado comunicacion publicidadperfil proactivo organizadoagil recursivo busqueda informacionbuen nivel ingles
141,experiencia anhos anhos cargo amplio conocimientos legislacion aduanera vigente manejo documentacion soporte tramites nacionalizacion importaciones exportación procesos logisticos especial relacionado carga referente manejo arribo despacho transito carga clientes tecnico tecnologo comercio exterior negocio internacional excelente presentacion personal confidencialidad honestidad etica profesionalismo
142,capacidad equipoinnovacioncreatividadcapacidad organizacion planificacion aptitud dibujar precision claridadaptitudes disenho asistido ordenadoraptitudes negociarcapacidad priorizar tareascapacidades organizativascapaz compaginar tareascapaz colores formas forma creativacapaz encajar criticas rechazo
143,compromisoliderazgobuen manejo personalcomunicacion asertivaorganizadoalta capacidad interpretacionalta capacidad analisisalta capacidad concentracionorientado cumplimiento meta recursivoproactivoresponsabletrabajo equiposentido pertenenciaexcelente servicio cliente compromisoliderazgobuen manejo personalcomunicacion asertivaorganizadoalta capacidad interpretacionalta capacidad analisisalta capacidad concentracionorientado cumplimiento meta recursivoproactivoresponsabletrabajo equiposentido pertenenciaexcelente servicio cliente
